Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
ACCESS ENGINEERING PLC,AEL.N0000,19.00,341.00,1180426.00,22380406.20,0.30,1.60
ACL CABLES PLC,ACL.N0000,44.60,161.00,116841.00,5191022.90,1.60,3.72
ALUMEX PLC,ALUM.N0000,11.80,132.00,423198.00,5035729.80,0.10,0.85
AMBEON HOLDINGS PLC,GREG.N0000,13.00,97.00,996125.00,12862981.80,0.20,1.56
ASIA ASSET FINANCE PLC,AAF.N0000,8.30,94.00,326362.00,2723641.60,-0.30,-3.49
ACL PLASTICS PLC,APLA.N0000,162.80,72.00,4799.00,763648.70,11.80,7.81
AITKEN SPENCE PLC,SPEN.N0000,34.00,64.00,66985.00,2297164.20,-0.40,-1.16
ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,2.70,35.00,215398.00,581029.10,0.00,0.00
AMANA TAKAFUL LIFE PLC,ATLL.N0000,9.20,32.00,10783.00,93731.30,1.80,24.32
ACME PRINTING & PACKAGING PLC,ACME.N0000,4.00,29.00,131170.00,527702.00,0.00,0.00
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,18.60,27.00,14583.00,270173.90,0.00,0.00
AGSTAR PLC,AGST.N0000,4.70,25.00,41879.00,195531.80,0.30,6.82
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,30.00,24.00,17591.00,527417.20,0.90,3.09
AMANA BANK PLC,ABL.N0000,2.30,23.00,626852.00,1439829.60,0.00,0.00
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.80,22.00,150350.00,135251.00,0.00,0.00
AMBEON CAPITAL PLC,TAP.N0000,4.50,19.00,124403.00,559613.50,0.00,0.00
AMANA TAKAFUL  PLC,ATL.N0000,6.00,14.00,9327.00,56684.80,0.00,0.00
ASIA CAPITAL PLC,ACAP.N0000,6.40,14.00,27507.00,177560.10,0.00,0.00
AMAYA LEISURE  PLC,CONN.N0000,28.00,12.00,4500.00,126000.00,0.00,0.00
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,18.00,11.00,21165.00,380440.00,0.10,0.56
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,15.90,10.00,3357.00,53385.70,0.00,0.00
ABANS ELECTRICALS PLC,ABAN.N0000,83.20,6.00,3349.00,277967.00,1.40,1.71
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,34.90,5.00,47.00,1687.30,0.00,0.00
ASIRI  SURGICAL HOSPITAL PLC,AMSL.N0000,10.00,3.00,318.00,3181.80,0.00,0.00
ARPICO FINANCE COMPANY PLC,ARPI.N0000,109.80,1.00,493.00,54131.40,9.70,9.69
ARPICO INSURANCE PLC,AINS.N0000,21.00,1.00,3100.00,65100.00,0.20,0.96
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,340.30,1.00,60.00,20100.00,0.00,0.00
ABANS FINANCE PLC,AFSL.N0000,21.50,,,,0.00,0.00
ADAM CAPITAL PLC,PCHH.N0000,0.00,,,,0.00,0.00
ADAM INVESTMENTS PLC,AINV.N0000,0.00,,,,0.00,0.00
AGSTAR PLC,AGST.X0000,5.00,,,,0.00,0.00
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,45.50,,,,0.00,0.00
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.40,,,,0.00,0.00